variant,id,turnover,etv
Control,4165571,274.9997,75.37820053100586
Target,5049720,100.0,-3.1103004217147827
Control,5350185,0.0,0.0
Control,2885229,93.45,20.178199917078015
Control,5084207,0.0,0.0
Control,1852915,20.4402,4.523100137710571
Target,2725414,60.0,19.91189980506897
Control,673186,0.0,0.0
Target,3016637,0.0,0.0
Target,183889,116.0,-7.722800016403198
Target,852479,0.0,0.0
Control,2881943,0.0,0.0
Target,5157098,0.0,0.0
Target,4408331,868.9,13.702100057154894
Control,1874522,100.0,37.17350006103515
Control,6447234,0.0,0.0
Control,611351,0.0,0.0
Control,3173663,100.0,8.729399681091309
Target,5019801,0.0,0.0
Control,5033765,269.9409,17.07760001718998
Control,4063873,58.74,6.29610013961792
Control,2768346,131.96,16.554699778556824
Control,5371866,50.0,6.2022998332977295
Target,6487016,300.0,25.85029983520508
Target,6593324,80.0,10.166299700737
Target,6435964,78.5,0.0
Target,5121580,0.0,0.0
Target,2773166,0.0,0.0
Target,1671740,159.0,42.21500039100647
Target,1462301,0.0,0.0
Target,1392590,0.0,0.0
Target,3873573,0.0,0.0
Control,996722,20.0,7.258699953556061
Target,2762102,216.0995,-22.446100875735283
Target,7004155,20.0,4.574399963021278
Control,5424423,421.0,27.430600211024284
Target,7548468,318.3336,59.462499767541885
Target,5053045,88.96,14.849899798631668
Target,4847100,0.0,0.0
Target,4034097,6.0,3.132200002670288
Control,3103429,20.0002,4.814199924468994
Control,7520107,0.0,0.0
Control,3985102,0.0,0.0
Control,1972466,119.0015,38.459200382232666
Target,7534259,0.0,0.0
Control,5458582,0.0,0.0
Control,4270711,0.0,0.0
Target,7281421,0.0,0.0
Target,1678065,0.0,0.0
Target,7321929,106.0001,26.815100073814392
Target,5472394,0.0,0.0
Control,5405844,95.0,25.92330050468445
Target,8194926,0.0,0.0
Target,1439712,31.0,9.900499939918518
Target,8710787,0.0,0.0
Control,4988415,0.0,0.0
Target,1017719,0.0,0.0
Target,1235946,166.38,25.865999962203205
Target,3810614,0.0,0.0
Target,2517461,181.46,24.75120002962649
Control,4340498,15.0,4.819399833679199
Control,4107006,1687.19,179.48790168762207
Target,6597322,0.0,0.0
Target,6758036,0.0,0.0
Target,3086214,0.0,0.0
Control,796580,0.0,0.0
Target,7697263,356.0001,65.83739876747131
Target,8604328,700.0,87.91579818725586
Target,2098056,187.75,2.8034998793154955
Target,5410293,0.0,0.0
Control,7011399,10.0,5.386499881744385
Target,1616144,214.04,32.709000289440155
Target,7779514,199.76,15.916500687599182
Target,7465150,0.0,0.0
Control,5052270,199.9999,-20.47000026702881
Target,522585,4.0,1.3867000341415403
Control,7433083,0.0,0.0
Control,1876732,56.2502,6.566499967128038
Target,3717970,52.85,4.447300028987229
Control,3237610,57.2,2.9666998982429504
Control,4370331,0.0,0.0
Target,7541013,0.0,0.0
Control,4521572,34.7,3.389700058847666
Control,4311800,200.0,-20.350900650024418
Target,3859632,190.0,41.351899698376656
Target,5371246,0.0,0.0
Control,5351601,320.0,27.219899773597717
Target,4939623,0.0,0.0
Control,5116109,40.0,8.699999809265137
Control,5047284,0.0,0.0
Control,5229371,50.0,-0.1238000020384788
Control,1027682,207.5999,-5.676099538803101
Target,5447371,62.59,0.0
Target,3038226,0.0,0.0
Control,2297277,0.0,0.0
Target,336236,0.0,0.0
Control,582254,430.39,64.73299996554852
Control,7087134,128.8402,16.355899684131145
Target,2890316,0.0,0.0
Target,208080,0.0,0.0
Target,6418707,49.9983,16.85379993915558
Target,4389322,247.0,67.38709926605225
Target,333875,35.0,9.500499963760376
Control,3377916,359.4401,13.253999769687653
Target,1992622,48.8008,18.277999997138977
Target,3975763,0.0,0.0
Control,1156884,0.0,0.0
Control,5527087,140.75,41.96830016374588
Control,7586529,0.0,0.0
Target,1528973,0.0,0.0
Target,7461745,200.0001,-49.14069902896881
Control,5362779,443.85,51.90000019222498
Target,2739620,8.0,0.0
Target,5388287,0.0,0.0
Control,3142185,57.0,14.348700284957886
Target,5167063,0.0,0.0
Target,3157332,10.0,2.0506999492645264
Target,3282875,0.0,0.0
Control,1777907,0.0,0.0
Target,7990800,200.0,95.61190128326416
Target,3338848,0.0,0.0
Control,5149739,0.0,0.0
Control,7647797,19.9999,1.3602001667022705
Control,4541355,0.0,0.0
Target,5184027,0.0,0.0
Control,1317595,20.3904,6.539999961853027
Target,7421422,0.0,0.0
Control,3756123,0.0,0.0
Control,2672004,160.0,26.129100397229195
Target,3161781,0.0,0.0
Target,3738746,10.0,1.3371000289916992
Target,3663379,0.0,0.0
Control,5199886,229.8,58.85960006713867
Control,1789069,0.0,0.0
Target,5026515,158.0,27.368300020694733
Control,613771,83.2496,30.816699981689453
Target,6470463,27.2512,-4.3880999237298965
Target,5375398,0.0,0.0
Target,6858147,98.24,15.091699838638306
Control,2826867,5.0,-3.233099937438965
Target,4441592,0.0,0.0
Control,4945765,0.0,0.0
Target,5279033,29.96,0.5156998932361603
Control,7920726,149.62,24.835299499332905
Control,723557,0.0,0.0
Target,1624680,777.1297,118.28309964388608
Control,3219412,0.0,0.0
Target,3363937,0.0,0.0
Control,2244476,0.0,0.0
Target,3569192,20.0,1.2238999605178833
Target,2482075,0.0,0.0
Control,2854469,24.0001,3.2414000183343887
Target,420322,125.04,4.307200189679861
Target,3895641,0.0,0.0
Target,5371499,0.0,0.0
Target,1622870,0.0,0.0
Target,1224617,40.0,0.9075000286102296
Target,7430123,50.0,-28.710899353027344
Control,5377120,0.0,0.0
Target,5058659,380.0,13.645098447799684
Target,2340337,0.0,0.0
Control,6837563,65.74,7.9336999617516994
Target,8365839,457.96,55.32139918208122
Control,4501043,297.0,12.350799918174744
Control,7453323,38.9,12.891600131988524
Control,3843192,0.0,0.0
Control,5065287,1044.85,-20.090598307549953
Control,3890505,433.9306,43.65559957176447
Target,4638067,0.0,0.0
Target,717543,402.5004,84.09189930558205
Control,1783963,0.0,0.0
Control,2882501,462.02,64.99029958248138
Target,2625677,0.0,0.0
Target,7885918,24.96,3.141699915751815
Control,1519480,10.0,2.401700019836426
Target,5343777,376.25,64.09110003709793
Control,8023554,0.0,0.0
Target,2198353,206.0,29.32019954919815
Target,7074579,0.0,0.0
Control,1130524,15.0,6.389900207519531
Control,2474243,103.0,12.02099996805191
Target,769542,135.0,19.55499996244907
Control,6461787,370.0003,22.8050000667572
Control,2501792,0.0,0.0
Target,973881,0.0,0.0
Target,5344211,1677.78,155.12889939546585
Control,1608994,74.8997,23.94459981098771
Target,1723757,0.0,0.0
Target,2046208,0.0,0.0
Control,4146771,60.0,8.507000088691711
Target,8051173,197.0,39.49859964847565
Target,3136299,92.96,14.987799863913096
Control,4510526,0.0,0.0
Control,7844344,119.0,4.165700182318687
Control,3869239,13.7,0.6089000105857849
Target,6803133,0.0,0.0
Control,5358530,0.5,0.0460000000894069
Target,7383158,700.5105,226.23520316183567
Target,3826253,40.0,9.003399848937988
Target,359633,41.4,13.729599833488464
Target,5344170,95.13,13.16949999332428
Control,5359871,0.0,0.0
Target,5122240,0.0,0.0
Target,8176786,58.32,4.375999815762043
Control,2542666,42.5401,5.223600097000599
Target,3867687,0.0,0.0
Target,3083961,0.0,0.0
Target,5211802,60.0,-18.1182998418808
Control,6815204,0.0,0.0
Control,3889963,25.0002,4.258299827575684
Control,4453574,85.0004,34.32989978790283
Control,609593,0.0,0.0
Control,2714211,0.0,0.0
Control,6876548,1102.3,35.13290032744408
Target,7511391,49.0,8.458599925041199
Target,5026818,0.0,0.0
Target,940201,20.0,5.829199954867363
Control,8041702,45.0004,17.57470030337572
Target,5428026,0.0,0.0
Control,8187417,230.0,10.122200280427933
Control,8249846,0.0,0.0
Control,5375444,29.9999,8.823999881744385
Control,8441736,775.2001,93.16010040044785
Target,8250955,53.32,-11.457600355148315
Control,4071776,911.2999,109.87300124764442
Target,1667976,24.98,4.041700005531311
Target,2849892,220.36,-14.379500344395638
Control,5692637,0.0,0.0
Target,6817601,0.0,0.0
Target,5524349,0.0,0.0
Target,2924452,0.0,0.0
Control,1012860,10.0002,-4.823699951171875
Control,3061526,240.0,-11.77280044555664
Target,656779,0.0,0.0
Target,7346846,7.38,0.0
Control,2099225,21.0005,9.691199779510498
Control,5014588,0.0,0.0
Target,8650909,90.9998,16.71969985961914
Target,1831160,0.0,0.0
Target,2023281,0.0,0.0
Target,6973454,132.66,24.955300048924983
Target,4571581,1604.6401,358.4160988330841
Control,353237,500.0,158.61630249023438
Target,5219828,130.0,22.24280035495758
Control,2223497,62.0,6.737899966537952
Control,7895219,0.0,0.0
Target,1558852,373.0,81.18810272216797
Control,3515520,89.9999,25.45319986343384
Target,314413,200.0,45.1953010559082
Control,1065214,24.9999,7.205399990081787
Target,6801548,468.5998,5.0386999770998955
Control,4211302,0.0,0.0
Control,3841686,99.25,13.665499597787855
Target,5085251,410.6202,44.28819978237152
Target,7444905,0.0,0.0
Target,1418941,0.0,0.0
Control,5371355,0.0,0.0
Target,5346210,28.75,-4.165000006556511
Control,7474497,0.0,0.0
Target,3981575,0.0,0.0
Control,1780717,30.0,7.942300021648407
Control,4556578,12.0,1.0551999807357788
Target,3335158,10.0,-6.498600006103516
Control,1112892,225.0,26.3662006855011
Target,5373952,0.0,0.0
Target,5154916,270.9601,48.90889996290207
Target,5853984,0.0,0.0
Control,3551026,18.3328,1.909800007939339
Target,913827,178.64,23.731099881231785
Control,4680441,0.0,0.0
Control,4096952,153.5795,-8.283200070261955
Target,4350285,100.0,15.804800033569336
Target,7374194,20.0,6.4506001472473145
Target,1067616,0.0,0.0
Target,8322141,328.0,51.28039966151118
Target,8361052,0.0,0.0
Control,3799814,296.0,16.18580010533333
Control,2309567,36.93,4.645000219345093
Control,1457090,0.0,0.0
Target,5377220,150.0,10.219300389289856
Target,3520249,863.2399,72.27410067617893
Target,4775738,0.0,0.0
Control,5123475,0.0,0.0
Control,7771636,0.0,0.0
Control,2282554,0.0,0.0
Target,4490954,0.0,0.0
Target,6982921,240.0,9.176599949598312
Control,3959123,0.0,0.0
Target,2985086,0.0,0.0
Target,4990461,111.5,18.517200097441673
Target,1164029,443.0,-0.6911988258361816
Control,3871827,142.0,47.10099983215332
Control,4000246,4.9998,1.094499945640564
Target,2914482,0.0,0.0
Control,2026201,307.17,28.7216999810189
Control,3232675,18.96,0.1639000177383422
Target,6599695,16.0,0.0
Control,3717381,25.0,7.10699987411499
Control,3183312,0.0,0.0
Target,4286844,600.0,138.62330436706543
Target,4758409,490.0,-26.670000553131104
Control,2556887,0.0,0.0
Target,476186,299.9997,27.694599151611328
Target,5352814,0.0,0.0
Control,673662,118.001,-1.10020013153553
Control,7714242,0.0,0.0
Control,798905,145.0,21.161600068211555
Control,573956,0.0,0.0
Control,6518852,37.0,5.826399981975555
Target,5101099,0.0,0.0
Target,2847826,175.98,24.500499736517668
Control,5344359,253.9,29.49250011960976
Target,3520249,0.0,0.0
Target,4442295,0.0,0.0
Control,6520373,44.9999,14.638000249862673
Control,5356829,57.5,-34.83019953966141
Control,1489773,2.26,0.3925999999046325
Target,5488624,0.0,0.0
Target,5344906,0.0,0.0
Control,7844922,0.0,0.0
Control,1721208,62.5,21.57300007343292
Control,4073105,70.0,-9.810800075531006
Control,4221305,0.0,0.0
Control,7085920,190.4,29.23370011756197
Control,772384,0.0,0.0
Target,4049711,0.0,0.0
Control,3861419,0.0,0.0
Control,4811202,1.0604,0.3071999992243945
Target,5358572,877.49,21.13289976119995
Control,5071596,402.46,0.0
Control,5387795,0.0,0.0
Target,5141500,0.0,0.0
Control,4913124,50.0,6.866099834442139
Control,3085360,389.0,-32.966999381780624
Control,6944201,0.0,0.0
Target,5450999,20.9398,5.110199928283691
Control,1327500,131.93,4.208800166845322
Control,4201444,55.2,-1.7434002086520195
Control,5300956,10.46,3.689500093460083
Target,2306832,0.0,0.0
Target,7747612,200.0,39.35319900512695
Control,5397796,20.0,5.874800205230713
Control,3785263,303.97,18.61180008528754
Control,766970,0.0,0.0
Control,7399649,814.0,146.7127983570099
Control,4791056,124.47,-25.25849974155426
